Audio,English,Persian G Translate,Persian Bamooz,English Alternatives,German,German Alternatives,Level,Part of Speech,Picture,Plural and inflected forms,Sample sentence,Thing
{{5286 0 0.mp3}},temperature,درجه حرارت,دما، دمای هوا,the temperature,die Temperatur,Temperatur,73,noun,{{5286 7 0.jpg}},die Temperaturen,Wasser gefriert bei einer Temperatur von null Grad Celsius.,24503275
{{5287 0 0.mp3}},(to) there,(به آنجا,به آنجا، به آن سمت، به سمت آنجا,,hin,,26,adv,{{5287 7 0.jpg}},,Ich möchte eine Fahrkarte hin und zurück.,23914465
{{5288 0 0.mp3}},garden,باغ,باغچه، باغ، حیاط,,der Garten,,45,noun,{{5288 7 0.jpg}},die Gärten,Im Garten stehen sechs Apfelbäume.,24235707
{{5289 0 0.mp3}},"to concern, go on",به نگرانی، در رفتن,شروع شدن، آغاز شدن / مربوط بودن، شامل شدن / روشن شدن / (مشکل) حل کردن، چیره شدن / خواهش کردن، تقاضا کردن,"tackle, approach",angehen,,63,verb,{{5289 7 0.jpg}},geht an; ging an; ist angegangen,Das Ganze geht mich nichts an.,24383913
{{5290 0 0.mp3}},village,روستا,روستا,,das Dorf,,33,noun,{{5290 7 0.jpg}},die Dörfer,Das Dorf liegt in einem Tal.,24129992
{{5291 0 0.mp3}},"direct, straight",مستقیم، مستقیم,مستقیم / صریح، رک / دقیقا، به طور دقیق / مستقیما، به طور مستقیم,,direkt,,19,adj,{{5291 7 0.jpg}},,Wir gehen auf direktem Weg nach Hause.,23863088
{{5292 0 0.mp3}},remaining,باقی مانده,اضافی، باقی‌مانده,,restlich,,121,adj,{{5292 7 0.jpg}},,Die restlichen Kosten trägt die Stadt.,24588588
{{5293 0 0.mp3}},"mood, atmosphere",خلق و خوی، جو,جو، فضا، حس و حال,the mood,die Stimmung,Stimmung,72,noun,{{5293 7 0.jpg}},die Stimmungen,Die Stimmung im Team ist sehr gut.,24503126
{{5294 0 0.mp3}},parents,والدین,والدین، پدر و مادر,the parents,die Eltern,Eltern,18,noun,{{5294 7 0.jpg}},no singular,In den Ferien fahren wir mit den Eltern an die Ostsee.,23722733
{{5295 0 0.mp3}},data file,فایل اطلاعات,فایل (کامپیوتر)، داده,,die Datei,,101,noun,{{5295 7 0.jpg}},die Datein,Können Sie mir die Datei schicken?,24551877
{{5296 0 0.mp3}},at short notice,در کوتاه مدت متوجه,موقتا / کوتاه‌مدت، مختصر,,kurzfristig,,89,adj,{{5296 7 0.jpg}},,Es hat sich eine kurzfristige Änderung ergeben.,24520133
{{5297 0 0.mp3}},worker,کارگر,کارگر، شاغل,,der Arbeiter,,103,noun,{{5297 7 0.jpg}},die Arbeiter,Die Arbeiter kommen gut voran.,24552541
{{5298 0 0.mp3}},cigarette,سیگار,سیگار,,die Zigarette,,94,noun,{{5298 7 0.jpg}},die Zigaretten,Zigaretten sind teuer und das ist gut so.,24544438
{{5299 0 0.mp3}},-self,-خود,[ضمیر مفعولی اکوزاتیو و داتیو سوم شخص مفرد و جمع] / همدیگر / [ضمیر انعکاسی سوم شخص مفرد و جمع]، خود,,sich,,1,pron,{{5299 7 0.jpg}},,Sie hat sich im Spiegel gesehen.,23497190
{{5300 0 0.mp3}},"to open, raise, wind",برای باز کردن، بالا بردن، باد,بالا کشیدن، بالا بردن / (کشیدن و) باز کردن / بزرگ کردن، پرورش دادن,,aufziehen,,161,verb,{{5300 7 0.jpg}},zieht auf; zog auf; hat aufgezogen,Mechanische Uhren muss man aufziehen.,24622823
{{5301 0 0.mp3}},absolutely,کاملا,حتما، در هر حال / کاملا، مطلق,,durchaus,,39,adv,{{5301 7 0.jpg}},,"Ich bin durchaus deiner Meinung, würde aber gerne noch etwas warten mit der Entscheidung.",24221166
{{5302 0 0.mp3}},"workday, daily routine",روز کاری، در زندگی روزمره,زندگی روزمره,,der Alltag,,85,noun,{{5302 7 0.jpg}},die Alltage,"Man muss immer wieder versuchen, dem Alltag zu entfliehen.",24519261
{{5303 0 0.mp3}},in view of,از نظر,با توجه به، نظر به,,angesichts,,52,prep,{{5303 7 0.jpg}},,"Angesichts der schlechten Straßenverhältnisse beschlossen wir, den Zug zu nehmen.",24264981
{{5304 0 0.mp3}},to please,لطفا,پسندیدن، خوش آمدن، دوست داشتن / پذیرفتن، تن در دادن، تسلیم شدن، (sich gefallen) / لطف، محبت,be pleasing,gefallen,,26,verb,{{5304 7 0.jpg}},gefällt; gefiel; hat gefallen,Das Lied gefällt mir.,24017448
{{5305 0 0.mp3}},methodical,روشمند,اسلوب دار، منظم,,methodisch,,121,adj,{{5305 7 0.jpg}},,Das Lehrbuch ist methodisch durchdacht.,24588464
{{5306 0 0.mp3}},"upbringing, education",تربیت، آموزش و پرورش,آموزش، تربیت,the upbringing,die Erziehung,Erziehung,94,noun,{{5306 7 0.jpg}},no plural,In seiner Jugend genoss er eine strenge Erziehung.,24545560
{{5307 0 0.mp3}},egg,تخم مرغ,تخم مرغ,the egg,das Ei,Ei,111,noun,{{5307 7 0.jpg}},die Eier,Die beiden Brüder ähneln sich wie ein Ei dem anderen.,24568456
{{5308 0 0.mp3}},we,ما,ما، [ضمیر اول شخص جمع],,wir,,2,pron,{{5308 7 0.jpg}},,Wir arbeiten jeden Tag zehn Stunden.,23499964
{{5309 0 0.mp3}},composer,آهنگساز,آهنگ‌ساز,,der Komponist,,135,noun,{{5309 7 0.jpg}},die Komponisten,Johann Sebastian Bach war Komponist.,24609973
{{5310 0 0.mp3}},"to stand up, get up",به ایستادن، تا,بلند شدن، بیدار شدن,,aufstehen,,53,verb,{{5310 7 0.jpg}},steht auf; stand auf; ist aufgestanden,Am Wochenende müssen wir nicht so früh aufstehen.,24265384
{{5311 0 0.mp3}},"home, hometown, homeland",خانه، شهر، میهن,وطن,the home town,die Heimat,Heimat,80,noun,{{5311 7 0.jpg}},die Heimaten,"Die Heimat ist da, wo man sich wohl fühlt.",24517964
{{5312 0 0.mp3}},business,کسب و کار,کسب و کار، بازرگانی,,das Business,,108,noun,{{5312 7 0.jpg}},no plural,Der Geschäftsführer fliegt immer Business Class.,24558939
{{5313 0 0.mp3}},to believe,باور كردن,باور داشتن، اعتقاد داشتن,believe,glauben,,8,verb,{{5313 7 0.jpg}},"glaubt, glaubte, hat geglaubt",Glaubst du uns?,23505421
{{5314 0 0.mp3}},"fissure, cleft, column",شقاق، شکاف، ستون,شکاف، درز,the gap,die Spalte,Spalte,154,noun,{{5314 7 0.jpg}},die Spalten,In der dritten Spalte der Tabelle steht der Preis.,24620646
{{5315 0 0.mp3}},to fall,افتادن,افتادن، سقوط کردن / افتادن، مصادف شدن / کاهش یافتن، سقوط کردن، پایین آمدن / دچار شدن، گرفتار شدن / باریدن / کشته شدن، تلف شدن / گرفته شدن، صادر شدن، زده شدن / تسخیر شدن، فتح شدن / تعلق گرفتن، نصیب شدن / بی‌اعتبار شدن، منسوخ شدن,,fallen,,14,verb,{{5315 7 0.jpg}},fällt; fiel; ist gefallen,Lass die Vase bitte nicht fallen!,23719967
{{5316 0 0.mp3}},bar,بار,نقد، به صورت پول نقد، نقدا / میکده، بار / (میز) بار,,die Bar,,161,noun,{{5316 7 0.jpg}},die Bars,Sie sitzt ganz allein an der Bar und trinkt einen Schnaps nach dem anderen.,24622841
{{5317 0 0.mp3}},"insofar, as far as that goes",تا آنجا، به عنوان آنجا که می رود,در این مورد، به این دلیل,,insofern,,57,adv,{{5317 7 0.jpg}},,"Mit dem dritten Platz habe ich nicht gerechnet, insofern bin ich mehr als zufrieden.",24279095
{{5318 0 0.mp3}},technical,فنی,فنی، مرتبط با تکنولوژی,,technisch,,29,adj,{{5318 7 0.jpg}},,Das ist ein technisches Problem.,24020296
{{5319 0 0.mp3}},to teach,برای آموزش,درس دادن، آموزش دادن، آموزاندن,teach,lehren,,90,verb,{{5319 7 0.jpg}},lehrt; lehrte; hat gelehrt,Sie lehrt Deutsch im Goethe-Institut.,24540950
{{5320 0 0.mp3}},free,رایگان,آزاد، رها / تعطیل، (روز) آزاد / اشغال نشده، خالی / بدون [چیزی]، بدون وجود [چیزی]، بدون نیاز به [چیزی],,frei,,16,adj,{{5320 7 0.jpg}},,Der Platz neben mir ist noch frei.,23722041
{{5321 0 0.mp3}},cloth,پارچه,شال,,das Tuch,,125,noun,{{5321 7 0.jpg}},"die Tücher, Tuche","Ein Sari ist ein langes Tuch, das kunstvoll um den Körper gewickelt wird.",24603782
{{5322 0 0.mp3}},"application, use",نرم افزار، استفاده,استفاده، کاربرد، مصرف,,die Anwendung,,34,noun,{{5322 7 0.jpg}},die Anwendungen,Dieses Computerprogramm kommt oft zur Anwendung.,24215056
{{5323 0 0.mp3}},sixty,شصت,شصت، [عدد 60],,sechzig,,92,num,{{5323 7 0.jpg}},,Das Dorf hat nur sechzig Einwohner.,24542509
{{5324 0 0.mp3}},loud,با صدای بلند,(صدای) بلند، بلند، پر سرو صدا / به‌گفته، برطبق، براساس / صدا، آوا,,laut,,57,adj,{{5324 7 0.jpg}},,Im Volkshaus ist es mir zu laut.,24279341
{{5325 0 0.mp3}},"to put up, install",قرار داده تا، نصب,بیان کردن، مطرح کردن,,anbringen,,117,verb,{{5325 7 0.jpg}},bringt an; brachte an; hat angebracht,Hier darf man keine Plakate anbringen.,24584495
{{5326 0 0.mp3}},(piece of) furniture,(قطعه ای از) مبلمان,مبلمان,,das Möbel,,136,noun,{{5326 7 0.jpg}},die Möbel,Wir kaufen uns neue Möbel.,24610081
{{5327 0 0.mp3}},preparation,آماده سازی,آمادگی، آماده سازی، تدارک,,die Vorbereitung,,91,noun,{{5327 7 0.jpg}},die Vorbereitungen,Alle waren mit den Vorbereitungen auf das Fest beschäftigt.,24541853
{{5328 0 0.mp3}},request,درخواست,خواهش، آرزو، تقاضا,the request,das Anliegen,Anliegen,130,noun,{{5328 7 0.jpg}},die Anliegen,"Wenn Sie gestatten, hätte ich noch ein kleines Anliegen.",24606654
{{5329 0 0.mp3}},"prospect, view",چشم انداز، مشاهده,چشم‌انداز، نما، دید,,die Aussicht,,111,noun,{{5329 7 0.jpg}},die Aussichten,Dieser Antrag hat kaum Aussicht auf Erfolg.,24568337
{{5330 0 0.mp3}},Dutch,هلندی,زبان هلندی,,niederländisch,,167,adj,{{5330 7 0.jpg}},,Die niederländische Sprache ist mit der deutschen verwandt.,24624342
{{5331 0 0.mp3}},to demonstrate,برای نشان دادن,راه‌پیمایی کردن، تظاهرات کردن / نشان دادن، آشکار کردن,,demonstrieren,,145,verb,{{5331 7 0.jpg}},demonstriert; demonstrierte; hat demonstriert,Letztes Jahr demonstrierten viele Studenten gegen Studiengebühren.,24616298
{{5332 0 0.mp3}},caution,احتیاط,مواظب باش / احتیاط، دقت,,die Vorsicht,,142,noun,{{5332 7 0.jpg}},no plural,Beim Autofahren ist viel Vorsicht geboten.,24614523
{{5333 0 0.mp3}},professor,استاد,پرفسور، استاد,,der Professor,,36,noun,{{5333 7 0.jpg}},die Professoren,Der Professor betreut viele Studierende.,24217272
{{5334 0 0.mp3}},without,بدون,,,ohne...zu,,7,conj,{{5334 7 0.jpg}},,"Ergeht, ohne etwas zu sagen.",23504099
{{5335 0 0.mp3}},empty,خالی,خالی، تهی,,leer,,46,adj,{{5335 7 0.jpg}},,Die Flasche Wein ist schon leer.,24259542
{{5336 0 0.mp3}},"distance, route",فاصله، مسیر,مسیر، راه,,die Strecke,,67,noun,{{5336 7 0.jpg}},die Strecken,Wir fuhren eine Strecke von 200 Kilometern.,24473842
{{5337 0 0.mp3}},collection,مجموعه,کلکسیون، مجموعه,,die Sammlung,,102,noun,{{5337 7 0.jpg}},die Sammlungen,Im Museum kann man eine Sammlung alter Münzen anschauen.,24552126
{{5338 0 0.mp3}},"rifle, shotgun",تفنگ، تفنگ ساچمهای,اسلحه، تفنگ,,das Gewehr,,157,noun,{{5338 7 0.jpg}},die Gewehre,Der Jäger lehnt das Gewehr an einen Baum.,24621989
{{5339 0 0.mp3}},to kill,کشتن,کشتن,kill,töten,,77,verb,{{5339 7 0.jpg}},tötet; tötete; hat getötet,Du sollst nicht töten!,24506415
{{5340 0 0.mp3}},Spanish,اسپانیایی,زبان اسپانیایی / اسپانیایی,,das Spanisch,,82,noun,{{5340 7 0.jpg}},no plural,Spanisch ist die momentan beliebteste Fremdsprache der Deutschen.,24518649
{{5341 0 0.mp3}},"to say goodbye, pass",برای خداحافظی، پاس,خداحافظی کردن، رفتن / بدرقه کردن، مشایعت کردن، (verabschieden) / تصویب کردن، (verabschieden),say goodbye,verabschieden,,77,verb,{{5341 7 0.jpg}},verabschiedet; verabschiedete; hat verabschiedet,Karl und Till verabschiedeten sich am Bahnhof.,24506431
{{5342 0 0.mp3}},"business, operation",کسب و کار، عملیات,شرکت / کسب و کار، کاسبی / کار، فعالیت,,der Betrieb,,27,noun,{{5342 7 0.jpg}},die Betriebe,Im Betrieb wird gestreikt.,24017643
{{5343 0 0.mp3}},"combination, link",ترکیبی، لینک,پیوند، اتصال,,die Verknüpfung,,165,noun,{{5343 7 0.jpg}},die Verknüpfungen,Das Seminar ist eine gelungene Verknüpfung von Theorie und Praxis.,24623558
{{5344 0 0.mp3}},"phenomen, appearance",عناصر، ظاهر,ظاهر / خیال، رویا,,die Erscheinung,,114,noun,{{5344 7 0.jpg}},die Erscheinungen,Der Präsident ist eine beeindruckende Erscheinung.,24579722
{{5345 0 0.mp3}},wheel,چرخ,چرخ,,das Rad,,93,noun,{{5345 7 0.jpg}},die Räder,Ein Auto hat vier Räder.,24544337
{{5346 0 0.mp3}},course of study,دوره مطالعه,رشته تحصیلی,the course of study,der Studiengang,Studiengang,78,noun,{{5346 7 0.jpg}},die Studiengänge,Viele Studiengänge sind mit Studenten überfüllt.,24508359
{{5347 0 0.mp3}},nowadays,این روزها,امروزه,,heutzutage,,131,adv,{{5347 7 0.jpg}},,Heutzutage ist das alles ganz anders.,24607902
{{5348 0 0.mp3}},"particularly, especially",به خصوص، به خصوص,به‌طور ویژه، به‌ویژه، به‌طور خاص / خیلی (قید تأکیدی),,besonders,,13,adv,{{5348 7 0.jpg}},,Elefanten werden besonders alt.,23642515
{{5349 0 0.mp3}},strict,سخت گیرانه,اکید / دقیقا، موبه‌مو,,strikt,,159,adj,{{5349 7 0.jpg}},,"Die Sekretärin hat strikte Anweisung, niemanden ins Zimmer zu lassen.",24622396
{{5350 0 0.mp3}},"1) only, simply, just; 2) bare, mere",1) تنها، به سادگی، فقط؛ 2) لخت، صرف,صرفاً، فقط,,bloß,,28,1) adv; 2) adj,{{5350 7 0.jpg}},,1) Mach mir bloß keine Probleme! 2) Der bloße Gedanke daran macht mich nervös.,24018070
{{5351 0 0.mp3}},grateful,سپاسگزار,سپاسگذار، قدردان,,dankbar,,139,adj,{{5351 7 0.jpg}},,Ich bin dir für deine Hilfe sehr dankbar.,24613127
{{5352 0 0.mp3}},discipline,انضباط,انضباط، دیسیپلین,,die Disziplin,,97,noun,{{5352 7 0.jpg}},die Disziplinen,Disziplin ist im Sport sehr wichtig.,24546504
{{5353 0 0.mp3}},to surprise,متعجب ساختن,غافلگیر کردن، متعجب کردن، سورپرایز کردن,surprise,überraschen,,43,verb,{{5353 7 0.jpg}},überrascht; überraschte; hat überrascht,Er überraschte seine Frau mit einem Opernbesuch.,24235079
{{5354 0 0.mp3}},"diverse, varied",متنوع، متنوع,متنوع، گوناگون,,vielfältig,,82,adj,{{5354 7 0.jpg}},,Den Ozean bewohnen vielfältige Lebensformen.,24518765
{{5355 0 0.mp3}},age,سن,سن,,das Alter,,35,noun,{{5355 7 0.jpg}},die Alter,Sie starb im Alter von 75 Jahren.,24215158
{{5356 0 0.mp3}},"ground, floor, bottom",زمین، کف، پایین,زمین، کف اتاق / اتاق زیر شیروانی / خاک,,der Boden,,22,noun,{{5356 7 0.jpg}},"die Boden, die Böden",Auf dem Boden liegt ein Teppich.,23884092
{{5357 0 0.mp3}},formal,رسمی,ظاهری، صوری,,formal,,131,adj,{{5357 7 0.jpg}},,"Der Antrag ist formal in Ordnung, wird aus inhaltlichen Gründen aber abgelehnt.",24607842
{{5358 0 0.mp3}},"to stroll, to",به قدم زدن، به,پیاده‌روی کردن,stroll,spazieren,,137,verb,{{5358 7 0.jpg}},spaziert; spazierte; ist spaziert,Jeden Sonntag gehen wir spazieren.,24610484
{{5359 0 0.mp3}},mostly,اغلب,اکثرا، معمولا، بیشتر موارد,,meistens,,39,adv,{{5359 7 0.jpg}},,Meistens fahre ich mit dem Rad zur Uni.,24221363
{{5360 0 0.mp3}},feminine,زنانه,مونث,,weiblich,,107,adj,{{5360 7 0.jpg}},,Eine weibliche Stimme meldete sich am Telefon.,24554899
{{5361 0 0.mp3}},statistics,آمار,آمار,,die Statistik,,122,noun,{{5361 7 0.jpg}},die Statistiken,"Glaube nur der Statistik, die du selbst gefälscht hast.",24588690
{{5362 0 0.mp3}},"to direct, repair, follow",به مستقیم، تعمیر، پیگیری,پیروی کردن، وابسته بودن، تابع بودن,straighten,richten,,37,verb,{{5362 7 0.jpg}},richtet; richtete; hat gerichtet,Ich richte mich nicht nach deinen Wünschen.,24218760
{{5363 0 0.mp3}},to go on/first/on ahead/forward,برای رفتن بر روی / اول / در پیش رو / رو به جلو,جلو رفتن، پیش رفتن,"<!--anki--><!--anki--><!--anki-->act, have priority, be fast (clock)",vorgehen,,107,verb,{{5363 7 0.jpg}},geht vor; ging vor; ist vorgegangen,Meine Uhr geht 10 Minuten vor.,24553930
{{5364 0 0.mp3}},exchange,تبادل,تبادل، تعویض، جابجایی,,der Austausch,,117,noun,{{5364 7 0.jpg}},"die Austausche, Austäusche",Der Austausch der Batterien sollte nur vom Fachmann vorgenommen werden.,24584702
{{5365 0 0.mp3}},punishment,مجازات,جریمه، مجازات,,die Strafe,,119,noun,{{5365 7 0.jpg}},die Strafen,"Es ist nicht leicht, sich sinnvolle Strafen auszudenken.",24587676
{{5366 0 0.mp3}},"to grasp, hold",به درک، نگه,گرفتن / نگه داشتن,grasp,fassen,,52,verb,{{5366 7 0.jpg}},fasst; fasste; hat gefasst,Sie fasste seine Hand.,24265034
{{5367 0 0.mp3}},flight,پرواز,پرواز، سفر هوایی,,der Flug,,114,noun,{{5367 7 0.jpg}},die Flüge,Der Flug dauert etwa acht Stunden.,24579899
{{5368 0 0.mp3}},to grin,به پوزخند,نیشخند زدن,,grinsen,,104,verb,{{5368 7 0.jpg}},grinst; grinste; hat gegrinst,"Als sie ihn ansah, grinste er zurück.",24553039
{{5369 0 0.mp3}},"designation, name, term",طراحی، نام، مدت,نام، عنوان,,die Bezeichnung,,89,noun,{{5369 7 0.jpg}},die Bezeichnungen,Wie ist die lateinische Bezeichnung für diese Pflanze?,24538564
{{5370 0 0.mp3}},unusual,غیر معمول,خارق‌العاده، نامعمول، غیر عادی,,außergewöhnlich,,156,adj,{{5370 7 0.jpg}},,Das ist ein ganz außergewöhnlich schönes Blau.,24621028
{{5371 0 0.mp3}},rock,سنگ,,,"der Fels, der Felsen",,139,noun,{{5371 7 0.jpg}},die Felsen,Auf den Felsen am Meer haben wir ein Picknick gemacht.,24613537
{{5372 0 0.mp3}},uniform,لباس فرم,لباس فرم، یونیفرم,,die Uniform,,160,noun,{{5372 7 0.jpg}},die Uniformen,Selbst die Uniformen der Polizei sehen jetzt recht sportlich aus.,24622478
{{5373 0 0.mp3}},"suspense, tension",تعلیق، تنش,ولتاژ,,die Spannung,,92,noun,{{5373 7 0.jpg}},die Spannungen,Die Spannung steigt.,24542561
{{5374 0 0.mp3}},motive,انگیزه,انگیزه، علت / بن‌مایه، موتیف، عنصر تکرارشونده,,das Motiv,,98,noun,{{5374 7 0.jpg}},die Motive,Was für ein Motiv hatte der Täter?,24546816
{{5375 0 0.mp3}},to organize,برای سازماندهی,برپا کردن، برگزار کردن,,veranstalten,,133,verb,{{5375 7 0.jpg}},veranstaltet; veranstaltete; hat veranstaltet,Die Universität veranstaltet einen Tag der offenen Tür.,24609101
{{5376 0 0.mp3}},characteristic,مشخصه,ویژه، خاص، مخصوص,,charakteristisch,,139,adj,{{5376 7 0.jpg}},,Das momentane Wetter ist charakteristisch für diese Region.,24613029
{{5377 0 0.mp3}},German,آلمانی,زبان آلمانی / آلمانی,,das Deutsch,,6,noun,{{5377 7 0.jpg}},no plural,Frederik hat in Deutsch eine Drei.,23503214
{{5378 0 0.mp3}},to prepare,برای آماده سازی,آماده شدن، خود را آماده کردن / آماده کردن، (از پیش) آماده کردن، (vorbereiten),prepare,vorbereiten,,48,verb,{{5378 7 0.jpg}},bereitet vor; bereitete vor; hat vorbereitet,Agnes bereitet ihr Seminar vor.,24260824
{{5379 0 0.mp3}},speaker,بلندگو,گوینده، مجری,the speaker,der Sprecher,Sprecher,54,noun,{{5379 7 0.jpg}},die Sprecher,Heute hält der Sprecher des Studentinnenrates eine Rede.,24265705
{{5380 0 0.mp3}},detail,جزئیات,جزئیات,the detail,das Detail,Detail,87,noun,{{5380 7 0.jpg}},die Details,Details sind oft nicht so wichtig wie das große Ganze.,24519475
{{5381 0 0.mp3}},"to send, broadcast",برای ارسال، پخش,پخش کردن / فرستادن,send,senden,,110,verb,{{5381 7 0.jpg}},sendet; sendete/sandte; hat gesendet/gesandt,Können Sie mir eine E-Mail senden?,24567247
{{5382 0 0.mp3}},during the week,در طول هفته,,,in der Woche,,11,,{{5382 7 0.jpg}},,In der Woche vom 17.-23. Juli habe ich Urlaub.,23637989
{{5383 0 0.mp3}},"in the vicinity, nearby",در مجاورت، در این نزدیکی هست,در نزدیکی,,in der Nähe,,38,,{{5383 7 0.jpg}},,In der Nähe der Universität sind nette Kneipen.,24220423
{{5384 0 0.mp3}},"to allow, permit",اجازه می دهد، اجازه,اجازه دادن,,gestatten,,157,verb,{{5384 7 0.jpg}},gestattet; gestattete; hat gestattet,Rauchen ist hier nicht gestattet.,24621953
{{5385 0 0.mp3}},predominant,غالب,عمده، اعظم,,überwiegend,,77,adj,{{5385 7 0.jpg}},,Der überwiegende Teil der Erstsemester fährt am Wochenende nach Hause.,24506419
{{5386 0 0.mp3}},to clean,تمیزکردن,واکس زدن، برق انداختن / تمیز کردن، پاک کردن، مسواک زدن,clean,putzen,,121,verb,{{5386 7 0.jpg}},putzt; putzte; hat geputzt,Nächste Woche putze ich die Fenster.,24588572
{{5387 0 0.mp3}},to end,برای پایان دادن به,تمام کردن,finish,beenden,,62,verb,{{5387 7 0.jpg}},beendet; beendete; hat beendet,Die Konferenz wurde erst nach Mitternacht beendet.,24383071
{{5388 0 0.mp3}},"argument, fight",استدلال، مبارزه,دعوا، نزاع,the argument,der Streit,Streit,80,noun,{{5388 7 0.jpg}},die Streite,Der Streit um die Löhne geht weiter.,24518029
{{5389 0 0.mp3}},"immediate, direct",فوری، مستقیم,مستقیم، بلافاصله,,unmittelbar,,42,adj,{{5389 7 0.jpg}},,Unmittelbar vor dem Haus führt die Buslinie entlang.,24234936
{{5390 0 0.mp3}},extensive,وسیع,گسترده، حجیم، وسیع,,umfangreich,,91,adj,{{5390 7 0.jpg}},,Sie verfügt über sehr umfangreiches Wissen.,24541801
{{5391 0 0.mp3}},computer,کامپیوتر,کامپیوتر، رایانه,,der Computer,,35,noun,{{5391 7 0.jpg}},die Computer,Ich arbeite jeden Tag am Computer.,24216248
{{5392 0 0.mp3}},"firm, company",شرکت، شرکت,شرکت، کمپانی,,die Firma,,27,noun,{{5392 7 0.jpg}},die Firmen,Viele Firmen gehen an die Börse.,24017843
{{5393 0 0.mp3}},damp,مرطوب آموزش زبان,مرطوب، خیس,,feucht,,118,adj,{{5393 7 0.jpg}},,Die Wäsche ist noch ganz feucht.,24585704
{{5394 0 0.mp3}},longing,اشتیاق,اشتیاق، عطش، آرزو,,die Sehnsucht,,128,noun,{{5394 7 0.jpg}},die Sehnsüchte,Julia hat Sehnsucht nach Romeo.,24606003
{{5395 0 0.mp3}},"culprit, perpetrator",مقصر، مجرم,مقصر، مجرم,,der Täter,,106,noun,{{5395 7 0.jpg}},die Täter,Habt ihr den Täter gefasst?,24553819
{{5396 0 0.mp3}},ear,گوش,گوش,the ear,das Ohr,Ohr,55,noun,{{5396 7 0.jpg}},die Ohren,Ich bin auf dem linken Ohr etwas taub.,24269817
{{5397 0 0.mp3}},rain,باران,باران,the rain,der Regen,Regen,74,noun,{{5397 7 0.jpg}},die Regen,Am Wochenende erwartet uns ein Mix aus Regen und Sonnenschein.,24504591
{{5398 0 0.mp3}},"meeting, gathering, assembly",جلسه، جمع آوری، مونتاژ,مجلس، جلسه، مجمع,,die Versammlung,,148,noun,{{5398 7 0.jpg}},die Versammlungen,Die Versammlung findet erst morgen statt.,24619019
{{5399 0 0.mp3}},"1) quiete, pretty; 2) rather",1) quiete، بسیار. 2) به جای,حق / قانون / راست، سمت راست / درست، حق، مناسب / واقعاً، به درستی، به تمام معنا,,recht,,11,1) adj; 2) part,{{5399 7 0.jpg}},,1) Das ist mir ganz recht so.  2) Ihre Wohnung ist recht klein.,23636233
{{5400 0 0.mp3}},address,نشانی,آدرس، نشانی,,die Adresse,,79,noun,{{5400 7 0.jpg}},die Adressen,Die Adresse des Empfängers kommt auf die Vorderseite des Briefes.,24517896
{{5401 0 0.mp3}},"to distinguish, differentiate",به تشخیص، افتراق,تشخیص دادن، تمیز دادن,distinguish,unterscheiden,,32,verb,{{5401 7 0.jpg}},unterscheidet; unterschied; hat unterschieden,Man unterscheidet zwischen Zitronen und Limetten.,24122526
{{5402 0 0.mp3}},to make more difficult,به سخت تر,دشوار کردن، سخت کردن,,erschweren,,145,verb,{{5402 7 0.jpg}},erschwert; erschwerte; hat erschwert,Ein starker Wind erschwerte die Arbeit.,24616532
{{5403 0 0.mp3}},"to water, pour",به آب، پور,آب دادن,pour,gießen,,146,verb,{{5403 7 0.jpg}},gießt; goss; hat gegossen,"Wer gießt meine Pflanzen, wenn ich weg bin?",24616628
{{5404 0 0.mp3}},both...and,هر دو و,نه تنها...بلکه,,sowohl...als auch,,30,,{{5404 7 0.jpg}},,1) Das betrifft sowohl Männer als auch Frauen. 2) Auf der Feier gab es sowohl Bier als auch Wein.,24097798
{{5405 0 0.mp3}},"to distinguish, differentiate",به تشخیص، افتراق,تشخیص دادن، تمیز دادن,distinguish,unterscheiden,,32,verb,{{5405 7 0.jpg}},unterscheidet; unterschied; hat unterschieden,Man unterscheidet zwischen Zitronen und Limetten.,24122526
{{5406 0 0.mp3}},"movement, motion",حرکت، حرکت,تحرک، حرکت,,die Bewegung,,32,noun,{{5406 7 0.jpg}},die Bewegungen,Er ist ständig in Bewegung.,24129885
{{5407 0 0.mp3}},sector,بخش,بخش، قسمت,,der Sektor,,125,noun,{{5407 7 0.jpg}},"die Sektors, Sektoren",Der öffentliche Sektor leidet unter zu geringen Investitionen.,24603672
{{5408 0 0.mp3}},"light, easy",سبک، آسان,سبک، کم وزن / ساده، آسان,,leicht,,15,adj,{{5408 7 0.jpg}},,Kinder erziehen ist keine leichte Aufgabe.,23720232
{{5409 0 0.mp3}},"scarce, slim",کمیاب، باریک,کمیاب، محدود، کم / کمتر از، به سختی,,knapp,,36,adj,{{5409 7 0.jpg}},,Die Partei hat mit knapper Mehrheit gewonnen.,24216646
{{5410 0 0.mp3}},although,با اينكه,با وجود اینکه، اگرچه,,obwohl,,17,conj,{{5410 7 0.jpg}},,"Der Zug kam eine halbe Stunde zu spät an, obwohl er ganz pünktlich losgefahren war.",23722292
{{5411 0 0.mp3}},"to convert, implement, move",برای تبدیل، پیاده سازی، حرکت,اجرایی‌کردن، عملی‌کردن,implement,umsetzen,,82,verb,{{5411 7 0.jpg}},setzt um; setzte um; hat umgesetzt,Die Idee wurde sofort in die Tat umgesetzt.,24518698
